"Step","harvest_original_cbam_causal - SW_ep_rew_total","harvest_original_cbam_causal - SW_ep_rew_total__MIN","harvest_original_cbam_causal - SW_ep_rew_total__MAX"
"18368000","639.0399932861328","639.0399932861328","639.0399932861328"
"18432000","639.1500015258789","639.1500015258789","639.1500015258789"
"18496000","624.9499969482422","624.9499969482422","624.9499969482422"
"18560000","633.1699981689453","633.1699981689453","633.1699981689453"
"18624000","646.3000106811523","646.3000106811523","646.3000106811523"
"18688000","640.370002746582","640.370002746582","640.370002746582"
"18752000","636.3499984741211","636.3499984741211","636.3499984741211"
"18816000","628.5599975585938","628.5599975585938","628.5599975585938"
"18880000","616.1499938964844","616.1499938964844","616.1499938964844"
"18944000","630.6499862670898","630.6499862670898","630.6499862670898"
"19008000","644.5600051879883","644.5600051879883","644.5600051879883"
"19072000","636.1999969482422","636.1999969482422","636.1999969482422"
"19136000","636.3799896240234","636.3799896240234","636.3799896240234"
"19200000","632.4899978637695","632.4899978637695","632.4899978637695"
"19264000","619.7700042724609","619.7700042724609","619.7700042724609"
"19328000","632.0099945068359","632.0099945068359","632.0099945068359"
"19392000","639.2599945068359","639.2599945068359","639.2599945068359"
"19456000","628.8999938964844","628.8999938964844","628.8999938964844"
"19520000","635.0400085449219","635.0400085449219","635.0400085449219"
"19584000","651.1700134277344","651.1700134277344","651.1700134277344"
"19648000","655.3899993896484","655.3899993896484","655.3899993896484"
"19712000","626.0300064086914","626.0300064086914","626.0300064086914"
"19776000","622.4500045776367","622.4500045776367","622.4500045776367"
"19840000","630.4100036621094","630.4100036621094","630.4100036621094"
"19904000","632.3200149536133","632.3200149536133","632.3200149536133"
"19968000","628.3899917602539","628.3899917602539","628.3899917602539"
"20032000","639.5700073242188","639.5700073242188","639.5700073242188"
