"Step","Group: coin3_cf_modified_causal_independent_1_0.55 - SW_ep_rew_mean","Group: coin3_cf_modified_causal_independent_1_0.55 - SW_ep_rew_mean__MIN","Group: coin3_cf_modified_causal_independent_1_0.55 - SW_ep_rew_mean__MAX","Group: coin3_cf_team_independent_1_0.55 - SW_ep_rew_mean","Group: coin3_cf_team_independent_1_0.55 - SW_ep_rew_mean__MIN","Group: coin3_cf_team_independent_1_0.55 - SW_ep_rew_mean__MAX","Group: coin3_cf_discrete_causal_independent_1_0.55 - SW_ep_rew_mean","Group: coin3_cf_discrete_causal_independent_1_0.55 - SW_ep_rew_mean__MIN","Group: coin3_cf_discrete_causal_independent_1_0.55 - SW_ep_rew_mean__MAX","Group: coin3_cf_causal_independent_1_0.55 - SW_ep_rew_mean","Group: coin3_cf_causal_independent_1_0.55 - SW_ep_rew_mean__MIN","Group: coin3_cf_causal_independent_1_0.55 - SW_ep_rew_mean__MAX","Group: coin3_baseline_1 - SW_ep_rew_mean","Group: coin3_baseline_1 - SW_ep_rew_mean__MIN","Group: coin3_baseline_1 - SW_ep_rew_mean__MAX","Group: coin3_baseline_independent_1 - SW_ep_rew_mean","Group: coin3_baseline_independent_1 - SW_ep_rew_mean__MIN","Group: coin3_baseline_independent_1 - SW_ep_rew_mean__MAX"
"2240000","2.1200000445048013","2.1200000445048013","2.1200000445048013","-0.5399999817212423","-0.5399999817212423","-0.5399999817212423","-2.963333348433177","-3.1733332872390747","-2.753333409627279","-2.8866666555404663","-2.8866666555404663","-2.8866666555404663","","","","","",""
"2256000","","","","","","","","","","","","","","","","-1.2600000395129125","-1.2600000395129125","-1.2600000395129125"
"2304000","2.496666749318441","2.496666749318441","2.496666749318441","-1.173333336909612","-1.173333336909612","-1.173333336909612","-3.0100000103314715","-3.1866667668024697","-2.8333332538604736","-3.2733333110809326","-3.2733333110809326","-3.2733333110809326","-2.569999933242798","-2.569999933242798","-2.569999933242798","-0.7733333458503088","-0.7733333458503088","-0.7733333458503088"
"2352000","","","","","","","","","","","","","","","","-0.6799999276796976","-0.6799999276796976","-0.6799999276796976"
"2368000","2.506666660308838","2.506666660308838","2.506666660308838","-0.6933333178361257","-0.6933333178361257","-0.6933333178361257","-2.3966666658719378","-2.6166666746139526","-2.1766666571299234","-2.7999999125798545","-2.7999999125798545","-2.7999999125798545","","","","","",""
"2376000","","","","","","","","","","","","","-2.2300000190734863","-2.2300000190734863","-2.2300000190734863","","",""
"2400000","","","","","","","","","","","","","","","","-0.9666667431592941","-0.9666667431592941","-0.9666667431592941"
"2432000","2.800000031789144","2.800000031789144","2.800000031789144","-0.23333332935969034","-0.23333332935969034","-0.23333332935969034","-2.819999972979228","-2.9933332999547324","-2.646666646003723","-2.3266666332880654","-2.3266666332880654","-2.3266666332880654","","","","","",""
"2448000","","","","","","","","","","","","","-3.2100000381469727","-3.2100000381469727","-3.2100000381469727","-1.6333332657814026","-1.6333332657814026","-1.6333332657814026"
"2496000","3.1600000858306885","3.1600000858306885","3.1600000858306885","-0.10999998077750206","-0.10999998077750206","-0.10999998077750206","-2.7833333412806196","-3.086666703224182","-2.4799999793370566","-2.8166666825612388","-2.8166666825612388","-2.8166666825612388","","","","-2.00000007947286","-2.00000007947286","-2.00000007947286"
"2520000","","","","","","","","","","","","","-2.809999942779541","-2.809999942779541","-2.809999942779541","","",""
"2544000","","","","","","","","","","","","","","","","-0.9466666777928671","-0.9466666777928671","-0.9466666777928671"
"2560000","2.8933332761128745","2.8933332761128745","2.8933332761128745","-0.8166666825612386","-0.8166666825612386","-0.8166666825612386","-2.6166666944821677","-2.6933333476384482","-2.540000041325887","-2.6666667461395264","-2.6666667461395264","-2.6666667461395264","","","","","",""
"2592000","","","","","","","","","","","","","-3.5799999237060547","-3.5799999237060547","-3.5799999237060547","-1.0133334050575893","-1.0133334050575893","-1.0133334050575893"
"2624000","3.2266666094462075","3.2266666094462075","3.2266666094462075","-0.8966666658719381","-0.8966666658719381","-0.8966666658719381","-2.8300000429153442","-2.8600000540415444","-2.800000031789144","-3.046666701634725","-3.046666701634725","-3.046666701634725","","","","","",""
"2640000","","","","","","","","","","","","","","","","-1.5266666412353516","-1.5266666412353516","-1.5266666412353516"
"2664000","","","","","","","","","","","","","-2.7100000381469727","-2.7100000381469727","-2.7100000381469727","","",""
"2688000","2.6399998664855957","2.6399998664855957","2.6399998664855957","-0.9800000190734863","-0.9800000190734863","-0.9800000190734863","-2.644999961058299","-2.963333249092102","-2.3266666730244956","-2.753333330154419","-2.753333330154419","-2.753333330154419","","","","-0.6400000055631002","-0.6400000055631002","-0.6400000055631002"
"2736000","","","","","","","","","","","","","-1.9299999475479126","-1.9299999475479126","-1.9299999475479126","-0.28666673103968304","-0.28666673103968304","-0.28666673103968304"
"2752000","2.7800000508626304","2.7800000508626304","2.7800000508626304","-0.41999995708465576","-0.41999995708465576","-0.41999995708465576","-2.3233333826065063","-2.693333387374878","-1.9533333778381348","-2.3600000143051147","-2.3600000143051147","-2.3600000143051147","","","","","",""
"2784000","","","","","","","","","","","","","","","","-0.7133332292238871","-0.7133332292238871","-0.7133332292238871"
"2808000","","","","","","","","","","","","","-2.740000009536743","-2.740000009536743","-2.740000009536743","","",""
"2816000","3.0066665013631186","3.0066665013631186","3.0066665013631186","-0.39333335558573407","-0.39333335558573407","-0.39333335558573407","-2.6516666809717813","-2.8000000516573587","-2.503333310286204","-2.5333333015441895","-2.5333333015441895","-2.5333333015441895","","","","","",""
"2832000","","","","","","","","","","","","","","","","-1.4333333571751912","-1.4333333571751912","-1.4333333571751912"
"2880000","3.073333263397217","3.073333263397217","3.073333263397217","-0.4466666579246521","-0.4466666579246521","-0.4466666579246521","-2.4566666285196943","-2.459999998410543","-2.453333258628845","-2.1666667064030967","-2.1666667064030967","-2.1666667064030967","-3.990000009536743","-3.990000009536743","-3.990000009536743","-1.306666706999143","-1.306666706999143","-1.306666706999143"
"2928000","","","","","","","","","","","","","","","","-0.8066667119661967","-0.8066667119661967","-0.8066667119661967"
"2944000","3.1200000445048013","3.1200000445048013","3.1200000445048013","-0.1733332872390747","-0.1733332872390747","-0.1733332872390747","-2.323333303133647","-2.5333333015441895","-2.113333304723104","-2.9033334255218506","-2.9033334255218506","-2.9033334255218506","","","","","",""
"2952000","","","","","","","","","","","","","-2.9100000858306885","-2.9100000858306885","-2.9100000858306885","","",""
"2976000","","","","","","","","","","","","","","","","-1.0866666436195374","-1.0866666436195374","-1.0866666436195374"
"3008000","3.7800000111262","3.7800000111262","3.7800000111262","-0.22000000874201456","-0.22000000874201456","-0.22000000874201456","-2.596666673819224","-2.7666666905085244","-2.4266666571299234","-2.506666660308838","-2.506666660308838","-2.506666660308838","","","","","",""
"3024000","","","","","","","","","","","","","-2.549999952316284","-2.549999952316284","-2.549999952316284","-0.8133333126703898","-0.8133333126703898","-0.8133333126703898"
"3072000","3.4599999686082206","3.4599999686082206","3.4599999686082206","-0.7933332920074463","-0.7933332920074463","-0.7933332920074463","-2.1166666845480604","-2.1733333667119346","-2.060000002384186","-2.5933333237965903","-2.5933333237965903","-2.5933333237965903","","","","-1.6000000437100728","-1.6000000437100728","-1.6000000437100728"
"3096000","","","","","","","","","","","","","-3.0999999046325684","-3.0999999046325684","-3.0999999046325684","","",""
"3120000","","","","","","","","","","","","","","","","-1.213333398103714","-1.213333398103714","-1.213333398103714"
"3136000","3.3133333921432495","3.3133333921432495","3.3133333921432495","-0.6266667445500692","-0.6266667445500692","-0.6266667445500692","-2.6849999725818634","-3.0366666316986084","-2.3333333134651184","-2.543333411216736","-2.543333411216736","-2.543333411216736","","","","","",""
"3168000","","","","","","","","","","","","","-2.240000009536743","-2.240000009536743","-2.240000009536743","-0.8733332951863607","-0.8733332951863607","-0.8733332951863607"
