"Step","cleanup_0.3_0.0_0.85_0.015_cbam_inequity_aversion - SW_ep_rew_total","cleanup_0.3_0.0_0.85_0.015_cbam_inequity_aversion - SW_ep_rew_total__MIN","cleanup_0.3_0.0_0.85_0.015_cbam_inequity_aversion - SW_ep_rew_total__MAX"
"15296000","28.283336222171783","28.283336222171783","28.283336222171783"
"15360000","30.34333872795105","30.34333872795105","30.34333872795105"
"15424000","29.050002098083496","29.050002098083496","29.050002098083496"
"15488000","26.156668722629547","26.156668722629547","26.156668722629547"
"15552000","33.736669421195984","33.736669421195984","33.736669421195984"
"15616000","35.4283367395401","35.4283367395401","35.4283367395401"
"15680000","33.583338022232056","33.583338022232056","33.583338022232056"
"15744000","31.098336458206177","31.098336458206177","31.098336458206177"
"15808000","27.181668519973755","27.181668519973755","27.181668519973755"
"15872000","29.261666774749756","29.261666774749756","29.261666774749756"
"15936000","33.228336691856384","33.228336691856384","33.228336691856384"
"16000000","30.86833643913269","30.86833643913269","30.86833643913269"
"16064000","30.09666794538498","30.09666794538498","30.09666794538498"
"16128000","29.330000400543213","29.330000400543213","29.330000400543213"
"16192000","29.45833671092987","29.45833671092987","29.45833671092987"
"16256000","30.56000304222107","30.56000304222107","30.56000304222107"
"16320000","29.026666283607483","29.026666283607483","29.026666283607483"
"16384000","25.47000026702881","25.47000026702881","25.47000026702881"
"16448000","25.643332958221436","25.643332958221436","25.643332958221436"
"16512000","24.579997539520264","24.579997539520264","24.579997539520264"
"16576000","25.076666593551636","25.076666593551636","25.076666593551636"
"16640000","25.913334131240845","25.913334131240845","25.913334131240845"
"16704000","27.348336935043335","27.348336935043335","27.348336935043335"
"16768000","25.953332901000977","25.953332901000977","25.953332901000977"
"16832000","29.94833517074585","29.94833517074585","29.94833517074585"
"16896000","30.701670169830322","30.701670169830322","30.701670169830322"
"16960000","28.035003304481506","28.035003304481506","28.035003304481506"
"17024000","31.41000199317932","31.41000199317932","31.41000199317932"
"17088000","28.313335418701172","28.313335418701172","28.313335418701172"
"17152000","26.43666636943817","26.43666636943817","26.43666636943817"
"17216000","26.041666984558105","26.041666984558105","26.041666984558105"
"17280000","24.513331413269043","24.513331413269043","24.513331413269043"
"17344000","23.136664390563965","23.136664390563965","23.136664390563965"
"17408000","24.15333342552185","24.15333342552185","24.15333342552185"
"17472000","25.7433340549469","25.7433340549469","25.7433340549469"
"17536000","26.808333158493042","26.808333158493042","26.808333158493042"
"17600000","28.499999523162842","28.499999523162842","28.499999523162842"
"17664000","28.041668176651","28.041668176651","28.041668176651"
"17728000","29.58166813850403","29.58166813850403","29.58166813850403"
"17792000","30.406668186187744","30.406668186187744","30.406668186187744"
"17856000","31.43500304222107","31.43500304222107","31.43500304222107"
"17920000","28.271667003631592","28.271667003631592","28.271667003631592"
"17984000","25.950001001358032","25.950001001358032","25.950001001358032"
"18048000","24.646663904190063","24.646663904190063","24.646663904190063"
"18112000","22.69166398048401","22.69166398048401","22.69166398048401"
"18176000","22.47833275794983","22.47833275794983","22.47833275794983"
"18240000","20.62333106994629","20.62333106994629","20.62333106994629"
"18304000","21.73833131790161","21.73833131790161","21.73833131790161"
"18368000","21.959998607635498","21.959998607635498","21.959998607635498"
"18432000","22.836665630340576","22.836665630340576","22.836665630340576"
"18496000","26.271666526794434","26.271666526794434","26.271666526794434"
"18560000","26.256666898727417","26.256666898727417","26.256666898727417"
"18624000","28.136666774749756","28.136666774749756","28.136666774749756"
"18688000","29.654998540878296","29.654998540878296","29.654998540878296"
"18752000","26.198334455490112","26.198334455490112","26.198334455490112"
"18816000","25.964998960494995","25.964998960494995","25.964998960494995"
"18880000","28.834999561309814","28.834999561309814","28.834999561309814"
"18944000","30.460001468658447","30.460001468658447","30.460001468658447"
"19008000","30.088337421417236","30.088337421417236","30.088337421417236"
"19072000","29.553334712982178","29.553334712982178","29.553334712982178"
"19136000","28.816668033599854","28.816668033599854","28.816668033599854"
"19200000","30.500000715255737","30.500000715255737","30.500000715255737"
"19264000","31.266668796539307","31.266668796539307","31.266668796539307"
"19328000","28.33500099182129","28.33500099182129","28.33500099182129"
"19392000","30.750001192092896","30.750001192092896","30.750001192092896"
"19456000","33.613335371017456","33.613335371017456","33.613335371017456"
"19520000","32.57833504676819","32.57833504676819","32.57833504676819"
"19584000","39.311670780181885","39.311670780181885","39.311670780181885"
"19648000","42.493340492248535","42.493340492248535","42.493340492248535"
"19712000","39.361671447753906","39.361671447753906","39.361671447753906"
"19776000","39.630006313323975","39.630006313323975","39.630006313323975"
"19840000","41.08000469207764","41.08000469207764","41.08000469207764"
"19904000","34.63666796684265","34.63666796684265","34.63666796684265"
"19968000","37.646673917770386","37.646673917770386","37.646673917770386"
"20032000","37.998340368270874","37.998340368270874","37.998340368270874"
