"Step","coin4_cbam_baseline - SW_ep_rew_total","coin4_cbam_baseline - SW_ep_rew_total__MIN","coin4_cbam_baseline - SW_ep_rew_total__MAX"
"14464000","-4.1799997091293335","-4.1799997091293335","-4.1799997091293335"
"14528000","-6.28000020980835","-6.28000020980835","-6.28000020980835"
"14592000","-4.360000014305115","-4.360000014305115","-4.360000014305115"
"14656000","-4.080000191926956","-4.080000191926956","-4.080000191926956"
"14720000","-4.680000066757202","-4.680000066757202","-4.680000066757202"
"14784000","-5.400000333786011","-5.400000333786011","-5.400000333786011"
"14848000","-5.859999775886536","-5.859999775886536","-5.859999775886536"
"14912000","-4.659999907016754","-4.659999907016754","-4.659999907016754"
"14976000","-6.439999580383301","-6.439999580383301","-6.439999580383301"
"15040000","-3.760000228881836","-3.760000228881836","-3.760000228881836"
"15104000","-4.9999998807907104","-4.9999998807907104","-4.9999998807907104"
"15168000","-5.460000276565552","-5.460000276565552","-5.460000276565552"
"15232000","-4.580000162124634","-4.580000162124634","-4.580000162124634"
"15296000","-4.26000052690506","-4.26000052690506","-4.26000052690506"
"15360000","-5.720000267028809","-5.720000267028809","-5.720000267028809"
"15424000","-4.620000123977661","-4.620000123977661","-4.620000123977661"
"15488000","-5.040000021457672","-5.040000021457672","-5.040000021457672"
"15552000","-6.779999613761902","-6.779999613761902","-6.779999613761902"
"15616000","-6.400000035762787","-6.400000035762787","-6.400000035762787"
"15680000","-5.079999923706055","-5.079999923706055","-5.079999923706055"
"15744000","-4.900000095367432","-4.900000095367432","-4.900000095367432"
"15808000","-6.280000172555447","-6.280000172555447","-6.280000172555447"
"15872000","-5.400000274181366","-5.400000274181366","-5.400000274181366"
"15936000","-6.059999585151672","-6.059999585151672","-6.059999585151672"
"16000000","-5.260000050067902","-5.260000050067902","-5.260000050067902"
"16064000","-4.170000046491623","-4.170000046491623","-4.170000046491623"
"16128000","-4.780000388622284","-4.780000388622284","-4.780000388622284"
"16192000","-6.560000002384186","-6.560000002384186","-6.560000002384186"
"16256000","-3.7599998712539673","-3.7599998712539673","-3.7599998712539673"
"16320000","-5.300000071525574","-5.300000071525574","-5.300000071525574"
"16384000","-5.879999848082662","-5.879999848082662","-5.879999848082662"
"16448000","-6.71999979019165","-6.71999979019165","-6.71999979019165"
"16512000","-7.259999632835388","-7.259999632835388","-7.259999632835388"
"16576000","-6.03999986499548","-6.03999986499548","-6.03999986499548"
"16640000","-6.599999874830246","-6.599999874830246","-6.599999874830246"
"16704000","-5.200000286102295","-5.200000286102295","-5.200000286102295"
"16768000","-5.2700000405311584","-5.2700000405311584","-5.2700000405311584"
"16832000","-4.359999775886536","-4.359999775886536","-4.359999775886536"
"16896000","-6.42000025510788","-6.42000025510788","-6.42000025510788"
"16960000","-6.180000022053719","-6.180000022053719","-6.180000022053719"
"17024000","-6.160000026226044","-6.160000026226044","-6.160000026226044"
"17088000","-7.619999885559082","-7.619999885559082","-7.619999885559082"
